method,params,sample,ari,nmi
minhash,k-5_n-16,NBD4967,0.8663524080692936,0.9857531851347979
minhash,k-5_n-16,NBD5499,0.890003449533257,0.9854635385858785
minhash,k-5_n-16,NBD4681,0.9031528987584143,0.9827629939140078
minhash,k-5_n-16,NBD5403,0.9182912916119124,0.9819193081921875
minhash,k-5_n-16,NBDQ9P,0.8910195476295013,0.9812905918869032
minhash,k-5_n-16,NBD5273,0.9061011920377894,0.9866256706594335
minhash,k-5_n-16,NBD5146,0.8893269503737471,0.9849705446834214
minhash,k-5_n-16,NBD5492,0.8853249282449651,0.9832829002747544
bktree,th-7,NBD4967,0.9398448327001244,0.992639185078011
bktree,th-7,NBD5499,0.9650633739330403,0.9948104845731361
bktree,th-7,NBD4681,0.987476587796688,0.9966568399003475
bktree,th-7,NBD5403,0.991937100279743,0.9966885041660138
bktree,th-7,NBDQ9P,0.9777122668248448,0.995688323864521
bktree,th-7,NBD5273,0.969423097909063,0.9951498445580029
bktree,th-7,NBD5146,0.965507852075156,0.9947628470930874
bktree,th-7,NBD5492,0.9625335974049526,0.9943827604241042
minhash,k-5_n-32,NBD4967,0.8722226083753339,0.985663968347736
minhash,k-5_n-32,NBD5499,0.8896879415774243,0.9854724231445141
minhash,k-5_n-32,NBD4681,0.9020777023047308,0.9825526084761808
minhash,k-5_n-32,NBD5403,0.9161049945081097,0.9817164594957691
minhash,k-5_n-32,NBDQ9P,0.8917732212742763,0.981326737591012
minhash,k-5_n-32,NBD5273,0.9027145361691348,0.9866814653857134
minhash,k-5_n-32,NBD5146,0.8902597203957868,0.9857247161426501
minhash,k-5_n-32,NBD5492,0.8839129202513172,0.9831382873803797
bktree,th-5,NBD4967,0.9383547023132928,0.9922857723307368
bktree,th-5,NBD5499,0.9606152523525304,0.9941781690021161
bktree,th-5,NBD4681,0.9819783449414478,0.9955698972486252
bktree,th-5,NBD5403,0.990254543691433,0.9960330313931776
bktree,th-5,NBDQ9P,0.9739976543771424,0.994872294804387
bktree,th-5,NBD5273,0.9657683478649032,0.9945217057785876
bktree,th-5,NBD5146,0.9598648373918164,0.9934906418402392
bktree,th-5,NBD5492,0.9591291642743877,0.9936248471863709
faiss,k-9,NBD4967,0.786942454122928,0.9734711425663727
faiss,k-9,NBD5499,0.820698212357211,0.9736993581124266
faiss,k-9,NBD4681,0.8589701076618602,0.9692866867747623
faiss,k-9,NBD5403,0.8686120527332014,0.9616853965552458
faiss,k-9,NBDQ9P,0.8348965906846805,0.9667629741396764
faiss,k-9,NBD5273,0.8176829950216804,0.972588915085184
faiss,k-9,NBD5146,0.8298771792408026,0.9710076289984226
faiss,k-9,NBD5492,0.8326340383696317,0.96995878692054
minhash,k-9_n-64,NBD4967,0.8538609428092055,0.9838340863645039
minhash,k-9_n-64,NBD5499,0.8726668852922823,0.9837876999629548
minhash,k-9_n-64,NBD4681,0.8857581293707838,0.980311225839178
minhash,k-9_n-64,NBD5403,0.8978726127683117,0.9786046637395803
minhash,k-9_n-64,NBDQ9P,0.868680569368879,0.9787400263387519
minhash,k-9_n-64,NBD5273,0.8788766732416472,0.9839508328630485
minhash,k-9_n-64,NBD5146,0.8752721588627637,0.9840864773661496
minhash,k-9_n-64,NBD5492,0.8723102601244866,0.9814440486380682
minhash,k-7_n-16,NBD4967,0.857122438477626,0.9845614701521755
minhash,k-7_n-16,NBD4681,0.89631471034225,0.9810956327925912
faiss,k-5,NBD4967,0.7775766196191904,0.9730833609664106
faiss,k-5,NBD5499,0.8184119574781112,0.9734874453933391
faiss,k-5,NBD4681,0.8548983068375343,0.9687410922687603
faiss,k-5,NBD5403,0.8711919257029711,0.9617565670621592
faiss,k-5,NBDQ9P,0.8348320860601588,0.9666850168179959
faiss,k-5,NBD5273,0.8169066127719767,0.9724019218328268
faiss,k-5,NBD5146,0.8293076981529832,0.9709177478362173
faiss,k-5,NBD5492,0.8311766873559367,0.969817475462717
bktree,th-3,NBD4967,0.9278201828757506,0.9908340761952222
bktree,th-3,NBD5499,0.9556791231954512,0.992941755134989
bktree,th-3,NBD4681,0.9780790512056975,0.9944055588500746
bktree,th-3,NBD5403,0.9863576515147934,0.9942833102758258
bktree,th-3,NBDQ9P,0.9640089121867057,0.9931505486076528
bktree,th-3,NBD5273,0.9554679313069906,0.9929038257819482
bktree,th-3,NBD5146,0.9488647506221533,0.990460413280425
bktree,th-3,NBD5492,0.9566109253445244,0.9927222792733259
minhash,k-9_n-32,NBD4967,0.8522464332092098,0.983524128728206
minhash,k-9_n-32,NBD5499,0.868028263668252,0.9832988454464291
minhash,k-9_n-32,NBD4681,0.8860388434492785,0.9804037702627176
minhash,k-9_n-32,NBD5403,0.8955922901993568,0.9783970419056987
minhash,k-9_n-32,NBDQ9P,0.8637217317944529,0.9782941074657308
minhash,k-9_n-32,NBD5273,0.8753481979146145,0.983414368611778
minhash,k-9_n-32,NBD5146,0.8741856779811353,0.9838904334996614
minhash,k-9_n-32,NBD5492,0.8714307763390435,0.9810511086068412
minhash,k-9_n-16,NBD4967,0.8484445667359175,0.9836154561877497
minhash,k-9_n-16,NBD5499,0.8714432104414276,0.9836336612513172
minhash,k-9_n-16,NBD4681,0.8855559373715937,0.9802358578219511
minhash,k-9_n-16,NBD5403,0.8981794252271017,0.9789062326851344
minhash,k-9_n-16,NBDQ9P,0.8653023005672076,0.9785331627091757
minhash,k-9_n-16,NBD5273,0.8808489936499511,0.9840929807000602
minhash,k-9_n-16,NBD5146,0.872898688443729,0.9834166155425654
minhash,k-9_n-16,NBD5492,0.8720239926881349,0.9811423790188416
minhash,k-5_n-64,NBD4967,0.8647205825586232,0.9862759479770001
minhash,k-5_n-64,NBD5499,0.8995477986744305,0.9863589181068222
minhash,k-5_n-64,NBD4681,0.9111976003000984,0.9840758387626031
minhash,k-5_n-64,NBD5403,0.9206578385681029,0.9822955139073247
minhash,k-5_n-64,NBDQ9P,0.8772760874323384,0.9821021094869002
minhash,k-5_n-64,NBD5273,0.9126440755990277,0.9874990291758283
minhash,k-5_n-64,NBD5146,0.893444353227883,0.9858525106391712
minhash,k-5_n-64,NBD5492,0.895920681435287,0.9844648355109491
minhash,k-7_n-64,NBD4967,0.8543148323987231,0.9845640538623791
minhash,k-7_n-64,NBD5499,0.8772034776933698,0.9843182743052841
minhash,k-7_n-64,NBD4681,0.8939852486538611,0.981336912668627
minhash,k-7_n-64,NBD5403,0.9047267210333175,0.9799156827015457
minhash,k-7_n-64,NBDQ9P,0.8795993046873516,0.979823449071497
minhash,k-7_n-64,NBD5273,0.8875435285407539,0.984960427573513
minhash,k-7_n-64,NBD5146,0.8832850647889372,0.9847608014448926
minhash,k-7_n-64,NBD5492,0.8781137755063586,0.9821802762194679
minhash,k-7_n-32,NBD4967,0.856233456206722,0.9847594806232248
minhash,k-7_n-32,NBD5499,0.8740641771805766,0.9837098069304803
minhash,k-7_n-32,NBD4681,0.886403484836059,0.9804343022278594
minhash,k-7_n-32,NBD5403,0.9009101237490557,0.9794014477444867
minhash,k-7_n-32,NBDQ9P,0.8798674175704951,0.9794759418366425
minhash,k-7_n-32,NBD5273,0.8836233156110068,0.9843313364045366
minhash,k-7_n-32,NBD5146,0.8794852545855024,0.9844123284693563
minhash,k-7_n-32,NBD5492,0.8724442592501432,0.9812956831790053
faiss,k-7,NBD4967,0.7871564280171629,0.9733982197374736
faiss,k-7,NBD5499,0.8224224899629144,0.9738328314295991
faiss,k-7,NBD4681,0.8590236680921594,0.9692809492567991
faiss,k-7,NBD5403,0.8722472842946155,0.9620474968904553
faiss,k-7,NBDQ9P,0.8349933343350884,0.9668098187993138
faiss,k-7,NBD5273,0.8176183353224665,0.972564905124499
faiss,k-7,NBD5146,0.8292534330218736,0.9709472888834398
faiss,k-7,NBD5492,0.8324884663353911,0.9699499166086615
