experiment,out_dir,log_file,seconds,returncode
baseline,out/baseline,logs/baseline.log,211.4,0
bktree_th-3,out/bktree_th-3,logs/bktree_th-3.log,127.6,0
bktree_th-5,out/bktree_th-5,logs/bktree_th-5.log,137.3,0
bktree_th-7,out/bktree_th-7,logs/bktree_th-7.log,138.7,0
faiss_k-5,out/faiss_k-5,logs/faiss_k-5.log,145.7,0
faiss_k-7,out/faiss_k-7,logs/faiss_k-7.log,152.9,0
faiss_k-9,out/faiss_k-9,logs/faiss_k-9.log,143.1,0
minhash_k-5_n-16,out/minhash_k-5_n-16,logs/minhash_k-5_n-16.log,183.1,0
minhash_k-5_n-32,out/minhash_k-5_n-32,logs/minhash_k-5_n-32.log,185.5,0
minhash_k-5_n-64,out/minhash_k-5_n-64,logs/minhash_k-5_n-64.log,205.6,0
minhash_k-7_n-16,out/minhash_k-7_n-16,logs/minhash_k-7_n-16.log,64.8,1
minhash_k-7_n-32,out/minhash_k-7_n-32,logs/minhash_k-7_n-32.log,187.7,0
minhash_k-7_n-64,out/minhash_k-7_n-64,logs/minhash_k-7_n-64.log,204.7,0
minhash_k-9_n-16,out/minhash_k-9_n-16,logs/minhash_k-9_n-16.log,179.1,0
minhash_k-9_n-32,out/minhash_k-9_n-32,logs/minhash_k-9_n-32.log,213.3,0
minhash_k-9_n-64,out/minhash_k-9_n-64,logs/minhash_k-9_n-64.log,201.7,0
